5	168.4	7	3
4	104.8	7	3
4	63.2	12	4
5	40.7	2	1
4	79.7	17	3
5	85.2	17	2
5	55.5	5	2
3	69.7	13	5
4	70.2	13	4
5	102.8	13	4
4	43.9	2	1
5	82.5	23	1
4	66.5	15	4
5	82.8	15	3
5	80.4	11	5
4	71.7	21	3
4	33.2	4	1
4	43.9	2	1
5	105.2	13	4
3	69.7	13	4
5	105.4	14	3
3	69.7	14	4
3	69.7	3	1
4	67.5	3	1
5	69.6	3	1
5	63.3	23	1
4	29.7	2	1
5	32.9	2	1
3	69.7	14	3
5	97.7	19	2
3	69.7	17	4
4	75.9	0	2
5	81	0	2
3	69.7	0	3
5	37.1	3	1
5	64	5	1
3	69.7	16	4
5	113.6	10	4
4	60.1	14	3
5	74.8	14	3
4	98.1	14	4
3	69.7	19	3
3	69.7	4	1
5	76.4	11	3
4	60.1	13	4
5	105.2	13	3
3	69.7	13	4
5	72.5	13	3
4	40.6	13	3
5	81.6	15	3
4	135	18	4
4	47	4	1
4	39.5	2	1
5	69.6	2	1
3	57.8	4	1
4	33.2	4	1
5	47.5	4	1
4	51	11	4
3	69.7	11	4
5	40.7	3	1
3	69.7	3	1
5	44.1	5	1
4	48.3	12	3
3	69.7	12	4
3	69.7	22	1
5	72.6	16	4
3	96.6	22	2
5	81.2	22	1
4	98	8	3
3	69.7	6	3
4	61.3	0	1
5	61	0	1
5	102.5	11	4
4	64.7	11	3
5	85.2	17	3
3	69.7	4	1
4	46.4	1	1
3	69.7	1	1
4	69.2	22	2
4	38.5	10	3
3	69.7	22	1
5	101.8	10	5
3	69.7	10	3
4	42.3	6	1
5	60.8	6	1
4	45.1	1	1
3	69.7	1	1
4	68.5	23	1
5	55.5	6	3
5	109.5	19	1
5	107.7	6	4
4	75	6	2
4	89	10	4
5	82.9	15	4
3	130.5	15	4
5	55.5	22	1
4	106.4	22	1
4	71.7	21	3
5	113.6	9	3
3	69.7	9	4
3	69.7	13	4
4	84	13	4
5	63.2	13	4
3	69.7	19	2
5	112.8	19	1
4	98.3	22	3
3	122.2	21	2
5	81.9	21	3
3	69.7	21	2
5	101.8	11	5
5	97.6	16	5
4	71.9	16	4
3	69.7	10	3
3	69.7	15	4
5	82.8	15	4
4	77.8	1	1
3	69.7	1	1
5	55.1	13	4
5	140.2	11	5
4	72.4	11	4
3	69.7	18	3
5	99.7	18	4
5	76.7	12	4
5	63.1	0	1
4	50.9	0	1
4	63.2	12	3
4	60.7	20	3
4	65.9	15	4
3	69.7	20	2
4	81.7	20	2
5	81.6	19	3
3	69.7	19	3
4	55.7	22	2
5	79.4	22	2
5	89.9	22	2
5	74.2	20	2
3	69.7	20	3
4	23.3	4	1
3	84.3	23	1
5	71.7	17	4
4	24.4	3	1
5	34.1	3	1
3	69.7	3	1
4	22.8	3	1
3	69.7	20	3
5	74.2	20	2
3	69.7	12	3
4	46.4	13	4
4	55.7	22	2
3	69.7	7	1
3	69.7	4	1
4	75.5	21	2
4	47.9	8	2
5	82.3	8	3
5	60.8	5	1
4	42.3	5	1
5	68.9	10	4
5	34.1	3	1
5	151	7	5
4	87.3	7	4
3	69.7	7	3
5	108.9	20	2
4	84.8	12	4
5	76.7	12	4
3	69.7	12	4
5	83.7	14	4
3	69.7	3	1
4	46.9	3	1
4	85	7	4
5	71.5	7	3
5	48.6	3	1
4	45.7	7	1
4	59.8	16	4
3	69.7	0	1
3	69.7	15	5
4	62.6	12	3
5	115.1	12	5
3	69.7	12	5
3	69.7	20	2
4	98.1	14	4
3	127.8	20	3
3	69.7	23	1
5	80.2	21	1
4	60.3	1	1
3	69.7	18	3
5	75.7	14	5
5	84.5	15	2
5	114.7	18	3
3	69.7	18	3
3	69.7	19	2
5	45.5	2	1
4	43.9	2	1
3	60.3	2	1
3	69.7	2	1
5	34.6	2	1
3	69.7	15	3
4	41.6	15	3
4	47.9	8	3
5	97.6	16	5
5	39.5	1	1
3	69.7	5	1
5	44.1	5	1
3	69.7	6	2
5	71.5	6	4
3	69.7	10	4
5	82.3	8	3
3	69.7	22	3
3	69.7	2	1
3	69.7	4	1
5	74.9	16	4
4	107.1	16	4
4	46.9	2	1
3	69.7	9	3
3	69.7	19	3
5	93.9	19	3
5	83.9	21	2
5	151	7	4
5	83.9	21	1
4	55	7	1
3	69.7	1	1
