location,NO2Level,TSGAS,JamFactor,TSJAM,lat,lon,ts 
KC5,58.9,2016-04-17 06:00:00,1.30115,2016-04-17T08:02:33.000+0000,51.49019756,-0.190863311,1460880211923 
KC3,69.7,2016-04-13 21:00:00,7.77177,2016-04-16T17:17:31.000+0000,51.49913951,-0.164337605,1460827111423 
KC4,59.8,2016-04-16 16:00:00,4.17063,2016-04-16T17:17:31.000+0000,51.48743685,-0.168397129,1460827111423 
KC5,86.5,2016-04-16 08:00:00,5.19259,2016-04-16T09:17:27.000+0000,51.49019756,-0.190863311,1460798311096 
KC4,48.7,2016-04-16 08:00:00,5.05111,2016-04-16T09:17:27.000+0000,51.48743685,-0.168397129,1460798311096 
KC3,69.7,2016-04-13 21:00:00,1.29704,2016-04-16T06:47:24.000+0000,51.49913951,-0.164337605,1460789311056 
KC3,69.7,2016-04-13 21:00:00,5.45537,2016-04-16T10:32:29.000+0000,51.49913951,-0.164337605,1460802811136 
KC5,68.9,2016-04-16 09:00:00,5.19889,2016-04-16T10:32:29.000+0000,51.49019756,-0.190863311,1460802811136 
KC4,54.1,2016-04-16 20:00:00,4.42024,2016-04-16T21:32:32.000+0000,51.48743685,-0.168397129,1460842411572 
KC3,69.7,2016-04-13 21:00:00,0.11169,2016-04-17T01:02:32.000+0000,51.49913951,-0.164337605,1460855011686 
KC3,69.7,2016-04-13 21:00:00,0.58837,2016-04-17T02:02:32.000+0000,51.49913951,-0.164337605,1460858611724 
KC3,69.7,2016-04-13 21:00:00,5.53869,2016-04-16T11:32:29.000+0000,51.49913951,-0.164337605,1460806411185 
KC5,80.4,2016-04-16 10:00:00,5.41428,2016-04-16T11:32:29.000+0000,51.49019756,-0.190863311,1460806411185 
KC4,46.9,2016-04-16 14:00:00,5.00413,2016-04-16T15:47:30.000+0000,51.48743685,-0.168397129,1460821711374 
KC4,47,2016-04-17 03:00:00,2.58564,2016-04-17T04:32:32.000+0000,51.48743685,-0.168397129,1460867611811 
KC3,69.7,2016-04-13 21:00:00,0.20807,2016-04-17T04:32:32.000+0000,51.49913951,-0.164337605,1460867611811 
KC4,60.7,2016-04-16 19:00:00,4.40159,2016-04-16T20:32:32.000+0000,51.48743685,-0.168397129,1460838811541 
KC3,69.7,2016-04-13 21:00:00,0.01169,2016-04-15T23:48:19.000+0000,51.49913951,-0.164337605,1460764110889 
KC4,23.3,2016-04-16 03:00:00,0,2016-04-16T04:48:22.000+0000,51.48743685,-0.168397129,1460782111005 
KC5,35.7,2016-04-16 03:00:00,1.17185,2016-04-16T04:48:22.000+0000,51.49019756,-0.190863311,1460782111005 
KC4,51,2016-04-16 09:00:00,5.68801,2016-04-16T10:17:29.000+0000,51.48743685,-0.168397129,1460801911123 
KC3,69.7,2016-04-13 21:00:00,5.94095,2016-04-16T17:02:30.000+0000,51.49913951,-0.164337605,1460826211415 
KC5,55.1,2016-04-16 12:00:00,4.85423,2016-04-16T13:47:29.000+0000,51.49019756,-0.190863311,1460814511297 
KC4,46.4,2016-04-16 12:00:00,5.27832,2016-04-16T13:47:29.000+0000,51.48743685,-0.168397129,1460814511297 
KC5,82.5,2016-04-16 22:00:00,3.79219,2016-04-16T23:17:32.000+0000,51.49019756,-0.190863311,1460848711598 
KC3,69.7,2016-04-13 21:00:00,3.12397,2016-04-15T21:33:16.000+0000,51.49913951,-0.164337605,1460756010844 
KC5,58.8,2016-04-15 23:00:00,0,2016-04-16T00:48:19.000+0000,51.49019756,-0.190863311,1460767710913 
KC3,69.7,2016-04-13 21:00:00,2.87351,2016-04-17T10:02:33.000+0000,51.49913951,-0.164337605,1460887412003 
KC4,57.1,2016-04-17 07:00:00,4.08048,2016-04-17T08:32:33.000+0000,51.48743685,-0.168397129,1460882011930 
KC5,68.9,2016-04-16 13:00:00,4.58238,2016-04-16T14:47:30.000+0000,51.49019756,-0.190863311,1460818111334 
KC4,46.9,2016-04-16 14:00:00,5.55716,2016-04-16T15:32:30.000+0000,51.48743685,-0.168397129,1460820811363 
KC3,69.7,2016-04-13 21:00:00,5.3271,2016-04-16T16:02:30.000+0000,51.49913951,-0.164337605,1460822611381 
KC4,46.9,2016-04-16 14:00:00,4.58166,2016-04-16T16:02:30.000+0000,51.48743685,-0.168397129,1460822611381 
KC5,69.6,2016-04-17 01:00:00,0,2016-04-17T02:17:32.000+0000,51.49019756,-0.190863311,1460859511730 
